title,ingredients,instructions,yield,time,notes,author,source_url,error
Tita Em’s Chicken Wings Adobo,[],[],,"{'prep': None, 'cook': None, 'total': None}",,,http://cooking.nytimes.com/recipes/1016873-tita-ems-chicken-wings-adobo,
Living City | A Billion Gallons a Day,[],[],,"{'prep': None, 'cook': None, 'total': None}",This content does not contain a recipe.,,http://www.nytimes.com/video/nyregion/100000003176142/living-city-a-billion-gallons-a-day.html?smid=tw-nytimes,
,[],[],,"{'prep': None, 'cook': None, 'total': None}","The page content was not found, so no recipe information is available.",,http://www.foodandwine.com/blogs/2014/10/16/11-ways-to-make-lasagna?adbid=523941767637254144&adbpl=tw&adbpr=30278532&xid=blog_20141019_33980067,
Error,[],[],,"{'prep': None, 'cook': None, 'total': None}",Failed to fetch HTML content due to a connection error.,,https://munchies.vice.com/articles/italian-nuns-are-making-orange-wine-for-god-and-the-rest-of-us?utm_source=munchiestwitterus,
Pa Amb Tomàquet (Catalan Tomato Bread),"['8 large slices country-style bread, about 1/2 inch thick', '4 garlic cloves (optional)', '2 very ripe tomatoes, halved crosswise', 'Spanish extra-virgin olive oil', 'Coarse sea salt', 'Freshly ground pepper']","['Light a grill. When the fire is medium hot, grill the bread for 2 minutes per side, or until nicely browned and crisp.', 'Give each diner a clove of garlic and half of a tomato. Each diner should rub the grilled slices with the garlic, then with the cut tomato. (The idea is to apply a thin film of tomato on the bread.) Drizzle with olive oil, sprinkle with salt and pepper and eat.']",4,"{'prep': '10 mins', 'cook': '5 mins', 'total': '15 mins'}","Choose a light-bodied Trappist ale, such as Orval from Belgium, to balance the sweet tomato flavor.",Steven Raichlen,https://www.foodandwine.com/recipes/catalan-tomato-bread,
Crème Brûlée French Toast,[],[],,"{'prep': None, 'cook': None, 'total': None}",,Genevieve Ko,http://cooking.nytimes.com/recipes/1017082-creme-brulee-french-toast,
,,,,,,,http://mobile.nytimes.com/2014/12/28/travel/indian-chains-in-new-york-worthy-of-their-flagships.html?_r=0&referrer=,Expecting value: line 1 column 1 (char 0)
,[],[],,"{'prep': None, 'cook': None, 'total': None}",The webpage content is not accessible due to a 403 Forbidden error.,,http://www.brainpickings.org/2013/03/28/the-art-of-cleanup-ursus-wehrli/?utm_content=buffercfd55&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,
,[],[],,"{'prep': None, 'cook': None, 'total': None}","The page content indicates a 404 error, meaning the recipe is not available.",,http://www.bonappetit.com/recipes/slideshow/12-favorite-leek-recipes,
"Paleo Coconut Flour Chicken Tenders (Low Carb, Keto)","['Chicken tenderloins', 'Coconut flour', 'Parmesan cheese or nutritional yeast', 'Spices (to taste)', 'Olive oil']","['Blend spices with coconut flour and either Parmesan cheese or nutritional yeast.', 'Dip each chicken tenderloin into olive oil.', 'Coat each tenderloin with the coconut flour mixture.', 'Place the coated tenderloins on a rack in a baking pan.', 'Bake at 400°F for 20-25 minutes, flipping halfway through.', 'For extra crispness, place tenders about 6 inches from the broiler on high for about 1 minute each side.']",Not specified,"{'prep': '5 minutes', 'cook': '30 minutes', 'total': '35 minutes'}","For a Paleo version, replace Parmesan cheese with nutritional yeast. Using a rack helps the coating crisp up better.",Lisa MarcAurele,https://lowcarbyum.com/gluten-free-coconut-flour-chicken-tenders-baked-paleo-recipe/,
Sara Jenkins' Italian Porchetta,"['1 4-pound boneless pork shoulder with the fat cap and skin still on or a 4-pound pork shoulder and a separate pork belly', '20 fresh sage leaves', '3 leafy sprigs fresh thyme, leaves removed', '3 leafy sprigs rosemary, stemmed', '2 garlic cloves, peeled and roughly chopped', ""2 tablespoons fennel pollen (swap out for dried fennel if you can't get this)"", '1 ½ teaspoons medium coarse sea salt', '1 ½ teaspoons freshly cracked black pepper', '2 tablespoons extra-virgin olive oil']","['Score the skin of the pork shoulder.', 'Stab the pork all over with a knife and insert a mixture of fresh herbs in the slits.', 'Tie the roast up.', 'Slow roast it for a few hours, basting it with white wine.', 'Serve as a sandwich on buns, or serve with cooked greens and crispy potatoes.']",,"{'prep': None, 'cook': 'a few hours', 'total': None}","If you can't find fennel pollen, swap out for dried fennel. Optional: Add a couple of tablespoons of lemon zest to the herbs for added flavor.",Sara Jenkins,http://theitaliandishblog.com/imported-20090913150324/2015/1/27/sara-jenkins-italian-porchetta.html,
"Frittata With Kasha, Leeks and Spinach","['1/2 cup kasha', 'Salt and freshly ground black pepper', '2 tablespoons olive oil', '2 cups sliced leeks, white and light green parts only', '2 cups chopped fresh spinach', '6 eggs', '1/4 cup milk or cream', '1/2 cup grated Parmesan cheese']","['Preheat the oven to 375 degrees F.', 'Cook the kasha in a small saucepan according to package instructions. Set aside.', 'Heat the olive oil in a large ovenproof skillet over medium heat. Add the leeks and cook until soft, about 5 minutes.', 'Add the spinach to the skillet and cook until wilted, about 2 minutes.', 'In a large bowl, whisk together the eggs, milk, and Parmesan cheese. Season with salt and pepper.', 'Stir the cooked kasha into the egg mixture.', 'Pour the egg mixture over the vegetables in the skillet. Cook on the stovetop until the edges begin to set, about 5 minutes.', 'Transfer the skillet to the oven and bake until the frittata is set and the top is golden brown, about 15 minutes.', 'Let cool slightly before slicing and serving.']",4 servings,"{'prep': '15 minutes', 'cook': '25 minutes', 'total': '40 minutes'}","This frittata is more vegetable than egg, making it a healthy and hearty meal.",Mark Bittman,http://cooking.nytimes.com/recipes/1017206-frittata-with-kasha-leeks-and-spinach,
Ultimate Vegan Ramen With Miso Broth,"['Charred vegetables', 'Fresh vegetables', 'Dried mushrooms', 'Fresh mushrooms', 'Soy-based tare', 'Shiitake mushrooms', 'Aromatics', 'Soy sauce', 'Mirin', 'Roasted sweet potatoes', 'Pureed roasted garlic', 'Charred eggplant', 'Mushroom-scallion oil']","['Prepare a mix of charred and fresh vegetables along with dried and fresh mushrooms for the broth.', 'Create a soy-based tare by simmering shiitake mushrooms and aromatics in soy sauce and mirin.', 'Roast sweet potatoes and puree them with roasted garlic to thicken the broth.', 'Char eggplant to add smokiness.', 'Prepare mushroom-scallion oil to add fat and flavor to the dish.', 'Assemble the ramen by adding the tare to the bowl, followed by the broth, and then the toppings.', 'Drizzle with mushroom-scallion oil before serving.']",Serves 4,"{'prep': '30 minutes', 'cook': '4 hours', 'total': '4 hours 30 minutes'}",Set aside at least half a day for this project as it involves many moving parts and elements.,J. Kenji López-Alt,https://www.seriouseats.com/recipes/2015/02/vegan-ramen-miso-creamy-vegan-vegetarian-food-lab-recipe.html,
Kimchi Fried Rice Waffles,"['1 cup kimchi chopped into bits (use cabbage kimchi centers and not the leaves)', '1/4 cup kimchi juice', '3 cloves of garlic, minced', '1/2 small onion, chopped finely', '1/2 jalapeño, chopped finely', '1-2 tbsp gochujang/Korean chili paste (according to taste)', '3 tsp sesame oil', '2-3 cups day-old rice, cold', 'sesame seed, dried nori, green onion (optional)', 'fried egg']","['Fry garlic until fragrant, add onions and jalapeño and let it sweat a little (~2 mins).', 'Add kimchi and saute until softened (2-3 mins). Add gochujang and mix until homogenous.', 'Add cold rice and break it up thoroughly. Drizzle in kimchi juice.', 'Saute and toss frequently for 5 mins. Adding sesame oil and a handful of chopped green onion at the last minute (you want your rice to be a little more dry than usual - for waffling).', 'Let it cool or stick it in the fridge for a while (skipping this step is fine but waffles are more to fall apart).', ""Preheat waffle machine. I don't have fancy one so it is all 1 heat setting. Stuff the machine with more kimchi fried rice waffle 'batter' than usual. You will squish it all down and the outside will crisp up. I kept it in my waffle maker for 3-4 minutes."", 'Enjoy with a fried egg on top!']",2 large waffles,"{'prep': None, 'cook': None, 'total': None}",,Miss Hangrypants,http://www.misshangrypants.com/2014/10/kimchi-fried-rice-waffles.html?m=1,
Croquembouche,"['½ cup whole milk', '6 tablespoons unsalted butter, cut into pieces', '1 tablespoon granulated sugar', '½ teaspoon kosher salt', '1 cup all-purpose flour', '6 large eggs, room temperature', '2 cups whole milk', '4 tablespoons unsalted butter, cut into pieces', '½ teaspoon kosher salt', '½ vanilla bean, split lengthwise', '5 large egg yolks', '½ cup granulated sugar', '¼ cup cornstarch', 'Powdered sugar (for dusting)', '2½ cups granulated sugar', '2 tablespoons light corn syrup']","['Preheat oven to 425˚. Line a rimmed baking sheet with parchment paper. Heat milk, butter, granulated sugar, salt, and ½ cup water in a medium saucepan over medium, stirring occasionally to melt butter. As soon as butter is melted, add flour all at once and stir with a wooden spoon, carefully at first to incorporate, then vigorously, until dough forms a single mass. Continue stirring, slapping dough against sides of saucepan with spoon, until dough leaves a thick film on bottom of pan and pulls away from sides, about 3 minutes. Transfer to a medium bowl and let rest 3 minutes.', 'Using a wooden spoon, mix 5 eggs into dough one at a time, making sure to completely incorporate each egg before adding the next. Dough will look broken when eggs are added, but will come back together as you stir. The final texture should be smooth, glossy, and somewhat stretchy.', 'Fit pastry bag with round tip. Spoon dough into bag. Holding bag at an angle so the tip is just touching prepared baking sheet on one side, gently start to squeeze out dough. Without moving the tip, pipe dough until you have a 1½"" round. Repeat, staggering rounds and spacing 2"" apart.', 'Beat remaining egg in a small bowl until no streaks remain and lightly brush tops of dough. Bake 15 minutes, then lower heat to 350˚. Continue to bake until puffs are deep golden brown all over and sound hollow when tapped on the bottom, 10–15 minutes.', 'Place milk, butter, and salt in a medium saucepan, then scrape in vanilla seeds and add pod. Bring to a simmer over medium heat.', 'Meanwhile, whisk egg yolks and granulated sugar in a medium bowl until very pale and light, about 3 minutes. Add cornstarch, whisking until no powdery dry spots remain. Whisking constantly, gradually add hot milk mixture to egg mixture. Transfer back to saucepan and cook over medium heat, whisking constantly, until mixture is thick and holds whisk marks, about 2 minutes.', 'Strain custard through a fine-mesh sieve into a medium bowl. Cover with plastic, pressing directly onto surface; chill until cold, at least 2 hours.', 'Fit pastry bag with star tip. Transfer chilled pastry cream to bag. Working one at a time, poke a hole into the bottom of each puff with a paring knife. Gently pipe in pastry cream to fill.', 'Line a rimmed baking sheet with parchment paper and trace an 8"" circle on parchment; turn it over.', 'Fill a large bowl with ice water. Bring sugar, corn syrup, and ½ cup water to a boil in a medium saucepan over medium-high heat, stirring to dissolve sugar. Boil, brushing down sides with a damp pastry brush and swirling pan occasionally, until caramel turns a light amber color. Set bottom of saucepan in ice water to stop the cooking and firm caramel slightly.', 'Carefully dip tops of filled puffs in caramel and place, caramel side up, on an unlined rimmed baking sheet; let sit until caramel is set.']",Makes 40 to 50 filled puffs,"{'prep': None, 'cook': None, 'total': None}","Puffs will begin to get soggy as soon as they are filled, so wait until just before serving to add pastry cream.",Bon Appétit,https://www.bonappetit.com/recipe/croquembouche,
Green Strata With Goat Cheese and Herbs,"['1 tablespoon olive oil', '1 onion, thinly sliced', 'Salt and pepper', '8 ounces mixed greens (spinach, chard, kale), washed and roughly chopped', '8 large eggs', '2 cups milk', '1 teaspoon chopped thyme', '1 teaspoon chopped rosemary', '1/2 teaspoon nutmeg', '6 ounces goat cheese, crumbled', '6 cups cubed day-old bread']","['Heat the olive oil in a large skillet over medium heat.', 'Add the onion and cook until soft, about 5 minutes. Season with salt and pepper.', 'Add the greens and cook until wilted, about 3 minutes. Remove from heat and set aside.', 'In a large bowl, whisk together the eggs, milk, thyme, rosemary, nutmeg, and a pinch of salt and pepper.', 'Add the cooked greens and onions, goat cheese, and bread cubes to the egg mixture. Stir to combine.', 'Pour the mixture into a greased 9x13-inch baking dish.', 'Cover and refrigerate for at least 2 hours or overnight.', 'Preheat the oven to 350°F (175°C).', 'Bake the strata, uncovered, until puffed and golden, about 45 to 50 minutes.', 'Let cool slightly before serving.']",Serves 6 to 8,"{'prep': '15 minutes', 'cook': '50 minutes', 'total': '3 hours (including chilling time)'}",This dish can be prepared a day in advance and baked just before serving.,David Tanis,http://cooking.nytimes.com/recipes/1017384-green-strata-with-goat-cheese-and-herbs,
BA's Best Cheesecake,"['9 oz. graham crackers, chocolate wafer cookies, vanilla wafer cookies, or gingersnap cookies', '1 Tbsp. raw sugar', '1/4 tsp. kosher salt', '1/2 cup (1 stick; 4 oz.) unsalted butter, melted, slightly cooled', '20 oz. cream cheese (2½ 8-oz. bars), room temperature', '3/4 cup granulated sugar', '1/4 tsp. kosher salt', '1 vanilla bean, split lengthwise, or 1 Tbsp. vanilla extract', '2/3 cup sour cream, room temperature', '1/4 tsp. finely grated lemon zest', '2 large eggs, room temperature']","['Preheat oven to 350°F. Pulse 9 oz. graham crackers, chocolate wafer cookies, vanilla wafer cookies, or gingersnap cookies in the large bowl of a food processor until fine crumbs form (you should have about 2 cups). Add 1 Tbsp. raw sugar and 1/4 tsp. kosher salt and pulse just to combine. Add 1/2 cup (4 oz.) melted butter and pulse until mixture is the consistency of wet sand.', 'Transfer mixture to springform pan and, using a measuring cup, press crumbs firmly onto bottom and 2"" up sides of pan. Bake crust until fragrant and edges just start to take on color, 12–15 minutes. Transfer to a wire rack and let cool.', 'Preheat oven to 325°F. Pulse 20 oz. cream cheese (2½ 8-oz. bars), room temperature, 3/4 cup granulated sugar, and 1/4 tsp. kosher salt in the large bowl of a food processor (no need to clean it first), occasionally scraping down sides of the bowl, until smooth. Scrape in the seeds from 1 vanilla bean, split lengthwise (save pod for another use), or add 1 Tbsp. vanilla extract. Add 2/3 cup sour cream, room temperature, and 1/4 tsp. finely grated lemon zest and pulse until smooth. Add 2 large eggs, room temperature, and pulse to combine. Scrape cheesecake batter into cooled crust and bake until edges are set but center is still wobbly, 35–40 minutes. Transfer to a wire rack and let cool. Chill until firm, at least 2 hours.']","Makes one 9"" cake","{'prep': None, 'cook': '47-55 minutes', 'total': '3 hours (includes cooling)'}",Cheesecake can be made 3 days ahead. Cover and chill. Bring to room temperature before serving.,Dawn Perry,https://www.bonappetit.com/recipe/bas-best-cheesecake,
Korean Fried Broccoli,[],[],,"{'prep': None, 'cook': None, 'total': None}",Unable to fetch the recipe details due to a connection error.,,http://munchies.vice.com/recipes/korean-fried-broccoli,
Clam and Cod Chowder,"['2 tablespoons olive oil', '2 tablespoons unsalted butter', '1½ pounds small Yukon Gold potatoes, peeled, halved, quartered if large', '2 large leeks, white and pale-green parts only, finely chopped', '4 celery stalks, finely chopped', '4 sprigs thyme, plus leaves for serving', 'Kosher salt and freshly ground black pepper', '⅓ cup dry white wine', '4 cups fish stock or bottled clam juice', '2 cups heavy cream', '4 pounds littleneck clams, scrubbed', '2 pounds skinless cod or haddock, cut into large pieces', 'Hot sauce and lemon wedges (for serving)']","['Heat oil and butter in a large heavy pot over medium. Add potatoes, leeks, celery, and thyme sprigs; season with salt and pepper. Cook, stirring occasionally, until leeks are tender, about 5 minutes. Add wine, bring to a boil, and cook until reduced by half, about 2 minutes. Add stock and cream, season with salt and pepper, and bring to a gentle simmer (if using clam juice, taste before adding salt, it’s very briny). Cook until potatoes are starting to fall apart (their starch will help give body to the soup), 50–60 minutes.', 'Add clams to pot and stir to coat. Cover and simmer until clams are just beginning to open, 10–12 minutes. Season cod with salt and pepper and add to pot. Reduce heat to low and cover. Let fish gently poach until cooked through, about 5 minutes (simmering too hard can make fish tough). Season with salt and pepper, if needed, and serve topped with thyme leaves, with hot sauce and lemon wedges.']",8 Servings,"{'prep': None, 'cook': '60-77 minutes', 'total': None}",Weeknight chowder? Use clam juice. Weekend? It’s worth making fish stock from scratch.,Alison Roman,http://www.bonappetit.com/recipe/clam-cod-chowder?mbid=social_twitter,
,[],[],,"{'prep': None, 'cook': None, 'total': None}",,,http://www.foodsofjane.com/recipes/chocolate-chunk-cookie-dough-ice-cream-bars,
BA's Best Cheesecake,"['9 oz. graham crackers, chocolate wafer cookies, vanilla wafer cookies, or gingersnap cookies', '1 Tbsp. raw sugar', '1/4 tsp. kosher salt', '1/2 cup (1 stick; 4 oz.) unsalted butter, melted, slightly cooled', '20 oz. cream cheese (2½ 8-oz. bars), room temperature', '3/4 cup granulated sugar', '1/4 tsp. kosher salt', '1 vanilla bean, split lengthwise, or 1 Tbsp. vanilla extract', '2/3 cup sour cream, room temperature', '1/4 tsp. finely grated lemon zest', '2 large eggs, room temperature']","['Preheat oven to 350°. Pulse 9 oz. graham crackers, chocolate wafer cookies, vanilla wafer cookies, or gingersnap cookies in the large bowl of a food processor until fine crumbs form (you should have about 2 cups). Add 1 Tbsp. raw sugar and 1/4 tsp. kosher salt and pulse just to combine. Add 1/2 cup (4 oz.) melted butter and pulse until mixture is the consistency of wet sand.', 'Transfer mixture to springform pan and, using a measuring cup, press crumbs firmly onto bottom and 2"" up sides of pan. Bake crust until fragrant and edges just start to take on color, 12–15 minutes. Transfer to a wire rack and let cool.', 'Preheat oven to 325°. Pulse 20 oz. cream cheese (2½ 8-oz. bars), room temperature, 3/4 cup granulated sugar, and 1/4 tsp. kosher salt in the large bowl of a food processor (no need to clean it first), occasionally scraping down sides of the bowl, until smooth. Scrape in the seeds from 1 vanilla bean, split lengthwise (save pod for another use), or add 1 Tbsp. vanilla extract. Add 2/3 cup sour cream, room temperature and 1/4 tsp. finely grated lemon zest and pulse until smooth. Add 2 large eggs, room temperature and pulse to combine. Scrape cheesecake batter into cooled crust and bake until edges are set but center is still wobbly, 35–40 minutes. Transfer to a wire rack and let cool. Chill until firm, at least 2 hours.']","Makes one 9"" cake","{'prep': 'Not specified', 'cook': '35–40 minutes', 'total': '3 hours (includes cooling)'}",Cheesecake can be made 3 days ahead. Cover and chill. Bring to room temperature before serving.,Dawn Perry,http://www.bonappetit.com/recipe/bas-best-cheesecake?mbid=social_twitter,
Vadouvan-Roasted Cauliflower with Harissa Chickpea Curry,"['2 Fresno chiles, thinly sliced', '¼ cup Champagne vinegar', '¼ teaspoon sugar', '1½ teaspoons kosher salt, divided, plus more', '1 head of cauliflower, cut into small florets', '¼ cup olive oil', '2 tablespoons vadouvan or curry powder', '2 shallots, thinly sliced', '¾ cup vegetable oil, divided', '1 15.5-ounce can chickpeas, rinsed, patted dry', '1 medium onion, chopped', '1 1-inch piece ginger, peeled, finely grated', '1 garlic clove, finely grated', '1 teaspoon grated lemongrass', '2 teaspoons tomato paste', '1 teaspoon harissa paste', '1 13.5-ounce can unsweetened coconut milk', '1 tablespoon chopped cilantro stems, plus sprigs for serving', 'Steamed basmati rice (for serving)']","['Combine chiles, vinegar, sugar, ½ tsp. salt, and ¼ cup water in a small bowl. Let sit at room temperature until ready to use.', 'Preheat oven to 450°. Toss cauliflower with olive oil, vadouvan, and 1 tsp. salt on a rimmed baking sheet. Roast, tossing occasionally, until cauliflower is tender and browned, 30–35 minutes. Transfer to a paper towels to drain.', 'Meanwhile, cook shallots in ½ cup vegetable oil in a small saucepan over medium-high, stirring occasionally, until golden brown and crisp, 8–10 minutes. Transfer to paper towels with a slotted spoon; season with salt.', 'Heat remaining ¼ cup vegetable oil in a large skillet over medium. Add onion and cook, stirring often, until tender, 5–7 minutes. Add ginger, garlic, and lemongrass and cook, stirring constantly, until fragrant, about 1 minute. Add tomato paste and harissa paste and cook, stirring constantly, until slightly darkened in color, about 2 minutes.', 'Whisk in coconut milk, bring to a boil, and cook, whisking occasionally, until curry thickens to the consistency of heavy cream, 5–7 minutes. Add chickpeas and ¼ cup water and cook, stirring occasionally, until mixture returns to a boil. Remove from heat and stir in cilantro stems; season with salt.', 'Serve curry over rice topped with drained pickled chiles, roasted cauliflower, fried shallots, and cilantro sprigs.']",4 Servings,"{'prep': None, 'cook': None, 'total': None}",Faster! Faster! Skip the pickling and just top the curry with sliced fresh Fresno chiles. Or leave them out altogether if you’re spice-averse.,Rick Martinez,http://www.bonappetit.com/recipe/vadouvan-roasted-cauliflower-harissa-chickpea-curry?mbid=social_twitter,
Caramelized Tomato Tarte Tatin,"['1 sheet of puff pastry, thawed', '2 tablespoons olive oil', '1 tablespoon balsamic vinegar', '1 tablespoon sugar', 'Salt and freshly ground black pepper, to taste', '1 1/2 pounds cherry tomatoes', '1/2 cup ricotta cheese', '1/4 cup pesto']","['Preheat the oven to 400°F (200°C).', 'In a 10-inch ovenproof skillet, heat olive oil over medium heat.', 'Add balsamic vinegar, sugar, salt, and pepper, stirring until sugar dissolves.', 'Add cherry tomatoes and cook, stirring occasionally, until they begin to caramelize, about 10 minutes.', 'Remove from heat and let cool slightly.', 'Roll out puff pastry on a lightly floured surface to smooth out any creases.', 'Place puff pastry over the tomatoes, tucking in the edges.', 'Bake in the preheated oven until the pastry is golden brown, about 25-30 minutes.', 'Remove from oven and let cool for 5 minutes.', 'Carefully invert the tart onto a serving plate.', 'Serve warm with dollops of ricotta and drizzles of pesto.']",Serves 4 to 6,"{'prep': '15 minutes', 'cook': '40 minutes', 'total': '55 minutes'}","This tart is best served warm, but can also be enjoyed at room temperature.",Alexa Weibel,https://cooking.nytimes.com/recipes/1017616-caramelized-tomato-tarte-tatin,
Frisée-Lardon Salad,"['1 tablespoon distilled white vinegar', '4 large eggs', '2 tablespoons olive oil', '4 ounces slab bacon, cut into 1x¼-inch pieces', '1 medium shallot, finely chopped', 'Kosher salt, freshly ground pepper', '½ cup red wine vinegar', '2 large heads of frisée, torn into bite-size pieces', 'Fleur de sel', '2 tablespoons 1½-inch pieces fresh chives']","['Pour water into a large saucepan to a depth of 2"" and bring to a boil. Reduce heat so water is at a gentle simmer and add white vinegar (it helps the egg whites stay compact). Crack an egg into a small bowl, then gently slide it into the water. Repeat with remaining eggs, waiting until the whites are starting to set before adding the next one (about 30 seconds apart). Cook eggs until whites are just set but yolks are still runny, about 3 minutes. Using a slotted spoon, transfer eggs to paper towels as they finish cooking.', 'Heat oil in a large skillet over medium. Add bacon and cook, stirring occasionally, until most of the fat has rendered and bacon is starting to brown, 5–8 minutes. Add shallot, season with kosher salt and pepper, and cook, stirring occasionally, until shallot is translucent and softened but hasn’t taken on any color, about 5 minutes. Add red wine vinegar. Bring to a boil and cook until reduced by three-quarters, 5–8 minutes. Taste bacon vinaigrette and adjust seasoning with kosher salt and pepper if needed.', 'Place frisée in a large bowl and drizzle warm bacon vinaigrette over top. Gently toss until frisée is evenly dressed and slightly wilted and season with fleur de sel and pepper.', 'Divide frisée salad among plates and carefully set an egg atop each. Season eggs with fleur de sel and pepper and scatter chives around.', 'Do Ahead: Eggs can be poached 4 hours ahead. Place in a bowl of ice water; cover and chill. Reheat in barely simmering water 1 minute before serving.']",4 Servings,"{'prep': None, 'cook': None, 'total': None}",Eggs can be poached 4 hours ahead. Place in a bowl of ice water; cover and chill. Reheat in barely simmering water 1 minute before serving.,"Petit Trois, Los Angeles, CA",http://www.bonappetit.com/recipe/frisee-lardon-salad,
Access to this page has been denied,[],[],,"{'prep': None, 'cook': None, 'total': None}",Unable to extract recipe details due to access restrictions on the webpage.,,http://www.thekitchn.com/recipe-slow-cooker-chicken-enchilada-soup-193675,
Linguine with Green Olive Sauce and Zesty Breadcrumbs,"['Linguine', 'Green olives', 'Homemade breadcrumbs', 'Olive oil', 'Anchovies', 'Tomatoes (preferably in season)']","['Sauté homemade breadcrumbs quickly in olive oil.', 'Toss linguine with green olives, anchovies, and tomatoes.', 'Top with zesty breadcrumbs.']",,"{'prep': None, 'cook': None, 'total': None}","For the best results, make this sauce at the height of tomato season.",Rochelle Bilow,http://www.bonappetit.com/recipes/article/no-cook-pasta-sauces?mbid=social_twitter,
Garam Masala Roasted Chicken with Bread and Butter Cabbage,"['1 whole chicken', '2 tablespoons garam masala', 'Salt to taste', 'Pepper to taste', '1 head of cabbage, sliced', '4 tablespoons butter', 'Bread, for serving']","['Preheat the oven to 375°F (190°C).', 'Rub the chicken with garam masala, salt, and pepper.', 'Place the chicken in a roasting pan and roast for about 1 hour, or until the internal temperature reaches 165°F (74°C).', 'While the chicken is roasting, melt the butter in a large skillet over medium heat.', 'Add the sliced cabbage to the skillet and cook until tender, about 10 minutes.', 'Season the cabbage with salt and pepper to taste.', 'Serve the roasted chicken with the bread and butter cabbage on the side.']",4 servings,"{'prep': '15 minutes', 'cook': '1 hour 10 minutes', 'total': '1 hour 25 minutes'}",This dish pairs well with a side of crusty bread.,Nathan Legare,http://www.tastingtable.com/entry_detail/chefs_recipes/15669/garam_masala_roasted_chicken_with_bread_and_butter_cabbage.htm?utm_campaign=trueAnthem:+Trending+Content&utm_content=55f230f504d301259a000001&utm_medium=trueAnthem&utm_source=twitter,
Pork Shoulder with Salsa Verde,"['3 anchovy fillets', '1 garlic clove, peeled', '3/4 cup chopped fresh Italian parsley', '1/3 cup (lightly packed) chopped fresh celery leaves', '1 1/2 tablespoons fresh lemon juice', '1 tablespoon finely grated lemon peel', '1 tablespoon red wine vinegar', '1 1/2 teaspoons chopped fresh rosemary', '1 1/2 teaspoons chopped fresh sage', '1/2 cup olive oil', '6 garlic cloves, minced', '2 tablespoons chopped fresh sage', '2 tablespoons chopped fresh rosemary', '1 tablespoon coarse kosher salt', '2 teaspoons freshly ground black pepper', '1 tablespoon olive oil', '1 8-pound whole bone-in heritage pork shoulder roast (Boston butt)']","['With processor running, drop anchovies and garlic through feed tube and finely chop. Scrape down sides of bowl. Add parsley, celery leaves, lemon juice, lemon peel, red wine vinegar, chopped rosemary, and chopped sage. Using on/off turns, process until almost smooth. With machine running, gradually add olive oil. Transfer salsa verde to bowl. Season with salt and pepper. Can be made 1 day ahead. Cover with plastic wrap and refrigerate.', 'Position rack in lowest third of oven; preheat to 450°F. Mix garlic, sage, rosemary, coarse kosher salt, and freshly ground black pepper in small bowl. Brush oil all over pork, then rub spice mixture all over. Place pork on rack set in roasting pan. Roast 20 minutes. Reduce heat to 300°F and continue to roast until instant read thermometer inserted into center registers 185°F, about 6 1/2 hours. Remove pork from oven; tent with foil to keep warm. Let rest 15 minutes. Cut into 1/2-inch-thick pieces and serve with salsa verde alongside.']",Makes 6 to 8 Servings,"{'prep': None, 'cook': '6 hours 50 minutes', 'total': None}",Salsa verde can be made 1 day ahead. Cover with plastic wrap and refrigerate.,Bruce Aidells,https://www.bonappetit.com/recipe/pork-shoulder-with-salsa-verde,
Steamed Vegetable Dumplings (Zhengjiao),[],[],,"{'prep': None, 'cook': None, 'total': None}",The content provided does not contain specific details about the recipe.,Buffy Naillon,http://www.chowhound.com/recipes/steamed-vegetable-dumplings-zhengjiao-28051,
,,,,,,,https://www.oliviascuisine.com/halloween-eyeball-punch/,Expecting value: line 1 column 1 (char 0)
Seared Mushrooms With Garlic and Thyme,"['2 tablespoons olive oil', '12 ounces mushrooms (such as maitake, oyster, and/or king trumpet), cut into large pieces', 'Kosher salt, freshly ground pepper', '4 tablespoons unsalted butter, cut into pieces', '2 sprigs thyme', '2 garlic cloves, crushed']","['Heat oil in a large skillet over medium-high until just beginning to smoke. Arrange mushrooms in skillet in a single layer and cook, undisturbed, until bottom side is golden brown, about 3 minutes. Season with salt and pepper, toss mushrooms, and continue to cook, tossing often and reducing heat as needed to avoid scorching, until golden brown all over, about 5 minutes more.', 'Reduce heat to medium and add butter, thyme sprigs, and garlic to skillet. Tip skillet toward you so butter pools at bottom edge. Spoon foaming butter over mushrooms until butter smells nutty, about 4 minutes. Remove mushrooms from skillet with a slotted spoon.']",4 Servings,"{'prep': None, 'cook': '12 minutes', 'total': None}","Our idea of magic mushrooms is crisp, golden (legal) substances with the power to lend a bass note of flavor to grain salads, turn a piece of ricotta toast into a meal, or stand alone as a savory side.",Chris Morocco,https://www.bonappetit.com/recipe/seared-mushrooms-with-garlic-and-thyme,
